Date,Open,High,Low,Close,Level
02-01-2001,3953.219971,4028.570068,3929.370117,4018.879883,1
03-01-2001,3977.580078,4067.659912,3977.580078,4060.02002,1
04-01-2001,4180.970215,4180.970215,4109.549805,4115.370117,0
05-01-2001,4116.339844,4195.009766,4115.350098,4183.72998,1
08-01-2001,4164.759766,4206.720215,4101.529785,4120.430176,0
09-01-2001,4114.740234,4166.839844,4101.009766,4125.310059,1
10-01-2001,4151.580078,4155.859863,4035.439941,4047.639893,0
11-01-2001,4066.129883,4077.540039,4006.540039,4027.129883,0
12-01-2001,4059.409912,4082.77002,4018.280029,4036.580078,0
15-01-2001,4074.320068,4080.139893,4018.23999,4046.76001,0
16-01-2001,4052.179932,4097.069824,4023.899902,4070.72998,1
17-01-2001,4101.180176,4125.100098,4072.090088,4083.409912,0
18-01-2001,4106.149902,4122.660156,4085.810059,4113.209961,1
19-01-2001,4149.25,4201.939941,4137.310059,4194.459961,1
22-01-2001,4247.450195,4278.549805,4223.560059,4267.109863,1
23-01-2001,4277.830078,4321.75,4272.870117,4296.689941,1
24-01-2001,4320.509766,4339.410156,4295.709961,4326.419922,1
25-01-2001,4327.839844,4341.330078,4273.700195,4330.220215,1
26-01-2001,4158.859863,4262.759766,4158.859863,4234.569824,1
29-01-2001,4269.410156,4373.220215,4256.759766,4372.040039,1
30-01-2001,4367.580078,4409.330078,4322.680176,4326.720215,0
31-01-2001,4303.129883,4355.390137,4230.169922,4286.109863,0
01-02-2001,4280.959961,4373.399902,4280.959961,4352.259766,1
02-02-2001,4337.52002,4397.189941,4337.52002,4370.470215,1
05-02-2001,4392.240234,4404.669922,4369.930176,4375.290039,0
06-02-2001,4376.919922,4379.220215,4303.279785,4312.930176,0
07-02-2001,4293.870117,4387.850098,4290.879883,4381.189941,1
08-02-2001,4395.439941,4436.47998,4387.990234,4397.330078,1
09-02-2001,4429.910156,4446.080078,4389.02002,4406.299805,0
12-02-2001,4437.319824,4440.759766,4354.100098,4363.049805,0
13-02-2001,4350.330078,4375.509766,4320.890137,4363.109863,1
14-02-2001,4372.600098,4459.189941,4371.950195,4437.990234,1
15-02-2001,4458.72998,4462.109863,4315.950195,4330.319824,0
16-02-2001,4363.790039,4378.060059,4302.100098,4350.649902,0
19-02-2001,4360.160156,4382.359863,4342.609863,4359.220215,0
20-02-2001,4338.310059,4362.5,4285.189941,4302.22998,0
21-02-2001,4252.27002,4286.629883,4190.959961,4262.549805,1
22-02-2001,4261.810059,4277.359863,4118.089844,4122.160156,0
23-02-2001,4168.709961,4174.850098,4074.120117,4112.689941,0
26-02-2001,4140.629883,4156.029785,4020.679932,4069.679932,0
27-02-2001,4070.370117,4264.02002,4056.399902,4247.040039,1
28-02-2001,4288.22998,4386.97998,4215.27002,4271.649902,0
01-03-2001,4323.180176,4341.669922,4077.419922,4095.159912,0
02-03-2001,4073.72998,4127.120117,3947.709961,3998.120117,0
05-03-2001,4062.409912,4114.109863,3913.669922,4046.889893,0
06-03-2001,4089.830078,4108.029785,4016.709961,4056.939941,0
07-03-2001,3986.820068,3986.820068,3821.590088,3881.959961,0
08-03-2001,3862.629883,3930.679932,3748.389893,3767.889893,0
09-03-2001,3605.530029,3777.47998,3436.75,3540.649902,0
12-03-2001,3508.129883,3757.120117,3493.939941,3725.030029,1
13-03-2001,3666.199951,3823.780029,3661.840088,3819.860107,1
14-03-2001,3752.360107,3867.469971,3696.52002,3745.73999,0
15-03-2001,3728.51001,3774.689941,3680.26001,3722.48999,0
16-03-2001,3736.090088,3740.070068,3644.51001,3672.399902,0
19-03-2001,3633.219971,3801.780029,3618.139893,3791.070068,1
20-03-2001,3785.959961,3818.030029,3708.800049,3713.969971,0
21-03-2001,3735.51001,3743.830078,3561.01001,3635.280029,0
22-03-2001,3640.469971,3654.040039,3600.389893,3636.320068,0
23-03-2001,3634.47998,3712.27002,3631.290039,3694.820068,1
26-03-2001,3736.540039,3792.76001,3736.540039,3788.209961,1
27-03-2001,3739.629883,3799.679932,3721.449951,3751.560059,1
28-03-2001,3714.110107,3723.72998,3589.929932,3604.379883,0
29-03-2001,3491.409912,3578.949951,3436.330078,3566.26001,1
30-03-2001,3543.820068,3619.620117,3543.820068,3605.01001,1
02-04-2001,3558.47998,3577.25,3511.120117,3565.649902,1
03-04-2001,3663.73999,3676.820068,3558.129883,3576,0
04-04-2001,3570.530029,3579.23999,3502.439941,3544.080078,0
05-04-2001,3542.439941,3542.439941,3342.110107,3458.389893,0
06-04-2001,3476.409912,3481.149902,3298.120117,3325.459961,0
09-04-2001,3254.52002,3264.570068,3120.129883,3183.77002,0
10-04-2001,3172.149902,3258.439941,3096.51001,3251.620117,1
11-04-2001,3231.939941,3331.780029,3220.649902,3312.290039,1
12-04-2001,3311.199951,3442.649902,3311.199951,3438.75,1
13-04-2001,3552.169922,3621.030029,3471.030029,3574.080078,1
16-04-2001,3620.899902,3620.899902,3523.73999,3583.040039,0
17-04-2001,3583.419922,3637.360107,3561.959961,3587.01001,1
18-04-2001,3547.22998,3593.840088,3526.360107,3589.98999,1
19-04-2001,3586.939941,3639.110107,3569.709961,3600.830078,1
20-04-2001,3649.360107,3651.790039,3547.459961,3557.189941,0
23-04-2001,3389.219971,3458.77002,3357.830078,3422.76001,1
24-04-2001,3459.51001,3522.699951,3440.709961,3519.159912,1
25-04-2001,3565.530029,3586.639893,3530.25,3538.419922,0
26-04-2001,3528.699951,3551.800049,3479.810059,3494.47998,0
27-04-2001,3471.949951,3521.919922,3465.5,3514.590088,1
30-04-2001,3562.969971,3573.189941,3539.459961,3544.810059,0
01-05-2001,3544.860107,3587.070068,3544.860107,3580.370117,1
02-05-2001,3580.370117,3629.649902,3569.139893,3586.580078,1
03-05-2001,3586.580078,3588.949951,3550.050049,3568.27002,0
04-05-2001,3564.649902,3577.790039,3545.189941,3559.77002,0
07-05-2001,3552.550049,3577.280029,3536.570068,3568.929932,1
08-05-2001,3480.419922,3579.350098,3420.139893,3576.959961,1
09-05-2001,3585.790039,3630.26001,3585.790039,3592.060059,1
10-05-2001,3607.459961,3675.449951,3607.459961,3669.76001,1
11-05-2001,3674.419922,3700.879883,3648.360107,3655.030029,0
14-05-2001,3656.090088,3681.189941,3630.600098,3640.100098,0
15-05-2001,3643.290039,3663.159912,3630.030029,3640.600098,0
16-05-2001,3640.800049,3683.52002,3640.800049,3674.540039,1
17-05-2001,3670.909912,3709.179932,3670.909912,3683.199951,1
18-05-2001,3686.159912,3700.659912,3647.350098,3659.810059,0
21-05-2001,3663.060059,3728.050049,3663.060059,3720.149902,1
22-05-2001,3732.030029,3751.699951,3725.830078,3742.070068,1
23-05-2001,3745.570068,3759.959961,3653.310059,3662.040039,0
24-05-2001,3623.620117,3638.459961,3592.219971,3631.909912,1
25-05-2001,3637.030029,3651.320068,3555.73999,3557.639893,0
28-05-2001,3565.879883,3590.560059,3490.830078,3498.379883,0
29-05-2001,3495.98999,3510.679932,3434.879883,3460.040039,0
30-05-2001,3473.320068,3507.23999,3448.439941,3457.310059,0
31-05-2001,3455.860107,3459.51001,3395.52002,3457.23999,1
01-06-2001,3466.659912,3502.780029,3452.939941,3495.840088,1
04-06-2001,3507.340088,3525.040039,3482.800049,3509.320068,1
05-06-2001,3504.23999,3517.360107,3484.080078,3498.389893,0
06-06-2001,3499.320068,3519.129883,3492.949951,3501.610107,1
07-06-2001,3491.360107,3501.5,3446.959961,3453.77002,0
08-06-2001,3434.330078,3434.330078,3360.110107,3372.939941,0
11-06-2001,3368.679932,3368.679932,3295.340088,3353.110107,0
12-06-2001,3357.110107,3418.98999,3339.840088,3410.949951,1
13-06-2001,3410.100098,3420.330078,3369.310059,3406.050049,0
14-06-2001,3408.280029,3427.75,3385.870117,3405.639893,0
15-06-2001,3402.139893,3409.76001,3361.790039,3381.76001,0
18-06-2001,3378.169922,3378.169922,3306.830078,3318.669922,0
19-06-2001,3313.129883,3417.939941,3287.939941,3407.320068,1
20-06-2001,3407.679932,3434.129883,3378.530029,3411.639893,1
21-06-2001,3411.679932,3427.370117,3391.719971,3404.860107,0
22-06-2001,3406.790039,3474.709961,3394.909912,3456.780029,1
25-06-2001,3459.149902,3487,3418.280029,3426.030029,0
26-06-2001,3452.110107,3452.110107,3300.149902,3312.290039,0
27-06-2001,3295.850098,3337.52002,3286.77002,3311.879883,1
28-06-2001,3321.139893,3364.800049,3306.73999,3317.629883,0
29-06-2001,3317.629883,3317.629883,3286.73999,3305.780029,0
02-07-2001,3290.850098,3299.570068,3260.679932,3290.810059,0
03-07-2001,3300.97998,3340.879883,3296.409912,3328.27002,1
04-07-2001,3328.370117,3388.75,3316.850098,3376.209961,1
05-07-2001,3390.340088,3459.370117,3384.73999,3452.75,1
06-07-2001,3470.939941,3513.790039,3438.030029,3453.98999,0
09-07-2001,3453.629883,3478.110107,3427.820068,3434.830078,0
10-07-2001,3414.060059,3440.290039,3397.649902,3431.929932,1
11-07-2001,3434.939941,3446.179932,3377.580078,3383.409912,0
12-07-2001,3372.919922,3380.27002,3352.120117,3370.929932,0
13-07-2001,3375.820068,3389.48999,3331.419922,3340.75,0
16-07-2001,3340.889893,3340.889893,3310.949951,3330.97998,0
17-07-2001,3326.840088,3340.909912,3306.169922,3335.080078,1
18-07-2001,3307.159912,3338.219971,3296.429932,3301.969971,0
19-07-2001,3298.639893,3318.600098,3254.280029,3259.030029,0
20-07-2001,3260.040039,3278.850098,3241.659912,3251.530029,0
23-07-2001,3255.919922,3289.459961,3249.459961,3285.889893,1
24-07-2001,3288.860107,3335.669922,3255.97998,3329.280029,1
25-07-2001,3335,3346.209961,3276.719971,3284.169922,0
26-07-2001,3293.830078,3310.860107,3278.540039,3298.780029,1
27-07-2001,3300.02002,3337.790039,3300.02002,3325.379883,1
30-07-2001,3323.360107,3356.340088,3322.439941,3329.949951,1
31-07-2001,3322.810059,3345.97998,3317.439941,3319.669922,0
01-08-2001,3317.51001,3321.179932,3294.189941,3302.320068,0
02-08-2001,3290.860107,3324.959961,3279.620117,3319.610107,1
03-08-2001,3312.5,3335.709961,3308.76001,3316.209961,1
06-08-2001,3321.189941,3332.280029,3283.439941,3287.620117,0
07-08-2001,3290.580078,3336.469971,3290.580078,3331.889893,1
08-08-2001,3326.23999,3357.070068,3321.73999,3337.909912,1
09-08-2001,3341.949951,3359.070068,3293.830078,3296.709961,0
10-08-2001,3287.689941,3290.23999,3271.540039,3278.919922,0
13-08-2001,3286.129883,3310.530029,3286.129883,3297.429932,1
14-08-2001,3307.290039,3316.330078,3292.659912,3308.790039,1
15-08-2001,3302.219971,3308.899902,3287.580078,3305.51001,1
16-08-2001,3318.439941,3337.939941,3310.290039,3318.320068,0
17-08-2001,3318.649902,3333.169922,3308.350098,3313.070068,0
20-08-2001,3282.300049,3327.669922,3282.300049,3300.620117,1
21-08-2001,3296.780029,3305.97998,3281.169922,3286.870117,0
22-08-2001,3282.389893,3282.389893,3241.120117,3244.949951,0
23-08-2001,3245.709961,3267.929932,3222.75,3227.120117,0
24-08-2001,3227.860107,3246.76001,3209.840088,3231.600098,1
27-08-2001,3232.879883,3245.98999,3218.040039,3228.600098,0
28-08-2001,3219.840088,3233.48999,3187.659912,3202.550049,0
29-08-2001,3196.409912,3203.540039,3166.969971,3198.399902,1
30-08-2001,3224.899902,3224.899902,3180.850098,3183.629883,0
31-08-2001,3189.090088,3198.810059,3141.570068,3150.399902,0
03-09-2001,3030.290039,3046.219971,2954.350098,3032.709961,1
04-09-2001,3038.879883,3068.48999,2982.159912,2987.5,0
05-09-2001,2986.860107,2986.860107,2770.23999,2830.120117,0
06-09-2001,2758.159912,2758.159912,2640.580078,2680.97998,0
07-09-2001,2680.040039,2814.070068,2680.040039,2782.469971,1
10-09-2001,2785.370117,2817.47998,2785.370117,2804.159912,1
11-09-2001,2781.459961,2781.459961,2674.820068,2761.659912,0
12-09-2001,2753.959961,2753.959961,2594.870117,2600.120117,0
13-09-2001,2627.25,2688.949951,2627.25,2651.780029,1
14-09-2001,2668.370117,2727.320068,2613.530029,2617.350098,0
17-09-2001,2621.889893,2682.590088,2615.040039,2667.340088,1
18-09-2001,2674.290039,2726.969971,2669.050049,2715.5,1
19-09-2001,2727.340088,2830.350098,2727.340088,2811.600098,1
20-09-2001,2817.73999,2822.77002,2773.030029,2795.300049,0
21-09-2001,2802.23999,2808.449951,2742.850098,2754.949951,0
24-09-2001,2763.169922,2798.689941,2763.169922,2788.969971,1
25-09-2001,2789.100098,2826.159912,2765.209961,2812.899902,1
26-09-2001,2767.929932,2784.090088,2718.409912,2765.370117,0
27-09-2001,2772.209961,2802.340088,2772.209961,2794.419922,1
